"","Block","Subplot","LegacySpp","year","planting","weeding","original_legacy_cover","new_legacy_cover","exotic_grass_other","exotic_forb_other","native_grass_other","native_forb_other","bare_ground","litter","exotic_other_total","exotic_total","species","cover","life_form","native_status"
"1",1,"A","CENSTO",2022,"S","W",0,0,NA,NA,NA,NA,NA,NA,15,15,"ACHMIL",NA,"forb","native"
"2",1,"A","CENSTO",2022,"S","W",0,0,NA,NA,NA,NA,NA,NA,15,15,"ERISPE",NA,"forb","native"
"3",1,"A","CENSTO",2022,"S","W",0,0,NA,NA,NA,NA,NA,NA,15,15,"GAIARI",NA,"forb","native"
"4",1,"A","CENSTO",2022,"S","W",0,0,NA,NA,NA,NA,NA,NA,15,15,"LINLEW",NA,"forb","native"
"5",1,"A","CENSTO",2022,"S","W",0,0,NA,NA,NA,NA,NA,NA,15,15,"PENSTR",NA,"forb","native"
"6",1,"A","CENSTO",2022,"S","W",0,0,NA,NA,NA,NA,NA,NA,15,15,"BOUGRA",NA,"grass","native"
"7",1,"A","CENSTO",2022,"S","W",0,0,NA,NA,NA,NA,NA,NA,15,15,"ELYELY",NA,"grass","native"
"8",1,"A","CENSTO",2022,"S","W",0,0,NA,NA,NA,NA,NA,NA,15,15,"KOEMAC",NA,"grass","native"
"9",1,"A","CENSTO",2022,"S","W",0,0,NA,NA,NA,NA,NA,NA,15,15,"PSESPE",NA,"grass","native"
"10",1,"A","CENSTO",2022,"S","W",0,0,NA,NA,NA,NA,NA,NA,15,15,"BROTEC",NA,"grass","exotic"
"11",1,"A","CENSTO",2022,"S","W",0,0,NA,NA,NA,NA,NA,NA,15,15,"CENSTO",0,"forb","exotic"
"12",1,"A","CENSTO",2022,"S","W",0,0,NA,NA,NA,NA,NA,NA,15,15,"EUPESU",NA,"forb","exotic"
"13",1,"A","CENSTO",2022,"S","W",0,0,NA,NA,NA,NA,NA,NA,15,15,"POTREC",NA,"forb","exotic"
"14",1,"B","CENSTO",2022,"S","C",0,0,NA,NA,NA,NA,NA,NA,25,25,"ACHMIL",NA,"forb","native"
"15",1,"B","CENSTO",2022,"S","C",0,0,NA,NA,NA,NA,NA,NA,25,25,"ERISPE",NA,"forb","native"
"16",1,"B","CENSTO",2022,"S","C",0,0,NA,NA,NA,NA,NA,NA,25,25,"GAIARI",NA,"forb","native"
"17",1,"B","CENSTO",2022,"S","C",0,0,NA,NA,NA,NA,NA,NA,25,25,"LINLEW",NA,"forb","native"
"18",1,"B","CENSTO",2022,"S","C",0,0,NA,NA,NA,NA,NA,NA,25,25,"PENSTR",NA,"forb","native"
"19",1,"B","CENSTO",2022,"S","C",0,0,NA,NA,NA,NA,NA,NA,25,25,"BOUGRA",NA,"grass","native"
"20",1,"B","CENSTO",2022,"S","C",0,0,NA,NA,NA,NA,NA,NA,25,25,"ELYELY",NA,"grass","native"
"21",1,"B","CENSTO",2022,"S","C",0,0,NA,NA,NA,NA,NA,NA,25,25,"KOEMAC",NA,"grass","native"
"22",1,"B","CENSTO",2022,"S","C",0,0,NA,NA,NA,NA,NA,NA,25,25,"PSESPE",NA,"grass","native"
