"","Block","LegacySpp","year","native_cover","original_legacy_cover","exotic_other_total","exotic_total","native_ratio"
"1",1,"CENSTO",2022,0,5,50,55,0
"2",1,"BROTEC",2022,0,20,35,55,0
"3",1,"POTREC",2022,0,1,9,10,0
"4",1,"Native",2022,0,0,10,10,0
"5",1,"EUPESU",2022,0,10,30,40,0
"6",2,"Native",2022,0,0,25,25,0
"7",2,"POTREC",2022,0,5,5,10,0
"8",2,"BROTEC",2022,0,45,25,70,0
"9",2,"EUPESU",2022,0,10,30,40,0
"10",2,"CENSTO",2022,0,0,35,35,0
"11",3,"BROTEC",2022,0,30,25,55,0
"12",3,"CENSTO",2022,0,0,30,30,0
"13",3,"EUPESU",2022,0,25,20,45,0
"14",3,"POTREC",2022,0,5,5,10,0
"15",3,"Native",2022,0,0,15,15,0
"16",4,"EUPESU",2022,0,10,40,50,0
"17",4,"Native",2022,0,0,70,70,0
"18",4,"CENSTO",2022,0,0,20,20,0
"19",4,"POTREC",2022,0,5,10,15,0
"20",4,"BROTEC",2022,0,85,5,90,0
"21",5,"POTREC",2022,0,10,10,20,0
"22",5,"BROTEC",2022,0,35,20,55,0
"23",5,"EUPESU",2022,0,10,70,80,0
"24",5,"Native",2022,0,0,30,30,0
"25",5,"CENSTO",2022,0,5,45,50,0
"26",1,"CENSTO",2023,8,10,11,32,0.242424242424242
"27",1,"BROTEC",2023,29,10,80,90,0.318681318681319
"28",1,"POTREC",2023,27.1,20,5,35,0.752777777777778
"29",1,"Native",2023,36,0,25,31,1.125
"30",1,"EUPESU",2023,16,5,25,45,0.347826086956522
"31",2,"Native",2023,41,0,15,26,1.51851851851852
"32",2,"POTREC",2023,50,5,1,31,1.5625
"33",2,"BROTEC",2023,11,65,10,85,0.127906976744186
"34",2,"EUPESU",2023,26,1,10,46,0.553191489361702
"35",2,"CENSTO",2023,31.2,5,40,50,0.611764705882353
"36",3,"BROTEC",2023,12.1,55,1.1,61.1,0.194847020933977
"37",3,"CENSTO",2023,28,5,65,90,0.307692307692308
"38",3,"EUPESU",2023,20,5,11,61,0.32258064516129
"39",3,"POTREC",2023,35.1,5,5,20,1.67142857142857
"40",3,"Native",2023,41.1,0,20,45.1,0.891540130151844
"41",4,"EUPESU",2023,5,0,1,76,0.0649350649350649
"42",4,"Native",2023,6.1,0,55,61,0.0983870967741935
"43",4,"CENSTO",2023,3.1,10,45,86,0.035632183908046
"44",4,"POTREC",2023,7,0,15,86,0.0804597701149425
"45",4,"BROTEC",2023,10.3,70,6,76,0.133766233766234
"46",5,"POTREC",2023,11,0,80,90,0.120879120879121
"47",5,"BROTEC",2023,21.1,15,75,90,0.231868131868132
"48",5,"EUPESU",2023,16.2,5,65,75,0.213157894736842
"49",5,"Native",2023,12,0,90,91,0.130434782608696
"50",5,"CENSTO",2023,6,10,70,100,0.0594059405940594
"51",1,"CENSTO",2024,2,60,5,66,0.0298507462686567
"52",1,"BROTEC",2024,7.2,0.1,50,55.1,0.128342245989305
"53",1,"POTREC",2024,26.1,30,5,55,0.466071428571429
"54",1,"Native",2024,40.1,0,6,12.1,3.06106870229008
"55",1,"EUPESU",2024,12,1,76,78.1,0.151706700379267
"56",2,"Native",2024,60,0,1,8,6.66666666666667
"57",2,"POTREC",2024,6,0.1,25,36.1,0.161725067385445
"58",2,"BROTEC",2024,0.1,15,5,45,0.00217391304347826
"59",2,"EUPESU",2024,5,5,1.1,26.1,0.18450184501845
"60",2,"CENSTO",2024,21,20,15,45,0.456521739130435
"61",3,"BROTEC",2024,7,15,1,26,0.259259259259259
"62",3,"CENSTO",2024,5,1,55,62,0.0793650793650794
"63",3,"EUPESU",2024,5,10,10,60,0.0819672131147541
"64",3,"POTREC",2024,25,15,15,31,0.78125
"65",3,"Native",2024,45,0,1,23,1.875
"66",4,"EUPESU",2024,0,0,15,20,0
"67",4,"Native",2024,2,0,70.1,71.1,0.0277392510402219
"68",4,"CENSTO",2024,0,1,45,51,0
"69",4,"POTREC",2024,0,1,25,27,0
"70",4,"BROTEC",2024,25,25,15,40.1,0.608272506082725
"71",5,"POTREC",2024,1,0,75,76,0.012987012987013
"72",5,"BROTEC",2024,21,1,45,51.1,0.403071017274472
"73",5,"EUPESU",2024,3,1,95,101,0.0294117647058824
"74",5,"Native",2024,6,0,95,105.1,0.056550424128181
"75",5,"CENSTO",2024,11,5,30,36,0.297297297297297
