Block,Subplot,LegacySpp,year,planting,weeding,ACHMIL,ERISPE,GAIARI,LINLEW,PENSTR,BOUGRA,ELYELY,KOEMAC,PSESPE,BROTEC,CENSTO,EUPESU,POTREC,original_legacy_cover,new_legacy_cover,exotic_grass_other,exotic_forb_other,native_grass_other ,native_forb_other,bare_ground,litter,exotic_other_total,exotic_total
1,A,CENSTO,2022,S,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,15,15
1,B,CENSTO,2022,S,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,25,25
1,C,CENSTO,2022,T,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,5,0,NA,NA,NA,NA,NA,NA,40,45
1,D,CENSTO,2022,T,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,5,0,NA,NA,NA,NA,NA,NA,50,55
1,A,BROTEC,2022,T,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,20,0,NA,NA,NA,NA,NA,NA,35,55
1,B,BROTEC,2022,T,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,55,0,NA,NA,NA,NA,NA,NA,20,75
1,C,BROTEC,2022,S,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,35,0,NA,NA,NA,NA,NA,NA,20,55
1,D,BROTEC,2022,S,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,20,0,NA,NA,NA,NA,NA,NA,40,60
1,A,POTREC,2022,S,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,0,NA,NA,NA,NA,NA,NA,35,45
1,B,POTREC,2022,S,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,NA,NA,NA,NA,NA,NA,15,20
1,C,POTREC,2022,T,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,9,10
1,D,POTREC,2022,T,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,NA,NA,NA,NA,NA,NA,20,25
1,A,Native,2022,T,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,5,5
1,B,Native,2022,T,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,10,10
1,C,Native,2022,S,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,10,10
1,D,Native,2022,S,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,15,15
1,A,EUPESU,2022,T,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,30,0,NA,NA,NA,NA,NA,NA,30,60
1,B,EUPESU,2022,T,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,10,0,NA,NA,NA,NA,NA,NA,30,40
1,C,EUPESU,2022,S,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,15,0,NA,NA,NA,NA,NA,NA,35,50
1,D,EUPESU,2022,S,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,10,0,NA,NA,NA,NA,NA,NA,30,40
2,A,Native,2022,T,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,25,25
2,B,Native,2022,T,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,10,10
2,C,Native,2022,S,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,30,30
2,D,Native,2022,S,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,25,25
2,A,POTREC,2022,T,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,NA,NA,NA,NA,NA,NA,5,10
2,B,POTREC,2022,T,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,NA,NA,NA,NA,NA,NA,10,15
2,C,POTREC,2022,S,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,4,5
2,D,POTREC,2022,S,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,NA,NA,NA,NA,NA,NA,15,20
2,A,BROTEC,2022,S,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,30,0,NA,NA,NA,NA,NA,NA,25,55
